Time,Numerical,Analytical,Relative Error
0.252,0.7773426118,0.7772447381,0.0001259239907
0.253,0.7765660458,0.7764678818,0.0001264237207
0.254,0.7757902555,0.775691802,0.0001269234509
0.255,0.7750152403,0.774916498,0.0001274231814
0.256,0.7742409993,0.7741419688,0.0001279229121
0.257,0.7734675318,0.7733682138,0.0001284226431
0.258,0.7726948369,0.7725952321,0.0001289223743
0.259,0.771922914,0.771823023,0.0001294221057
0.26,0.7711517622,0.7710515858,0.0001299218374
0.261,0.7703813809,0.7702809196,0.0001304215694
0.262,0.7696117691,0.7695110237,0.0001309213016
0.263,0.7688429262,0.7687418973,0.0001314210341
0.264,0.7680748513,0.7679735397,0.0001319207668
0.265,0.7673075438,0.76720595,0.0001324204997
0.266,0.7665410028,0.7664391275,0.0001329202329
0.267,0.7657752275,0.7656730715,0.0001334199664
0.268,0.7650102173,0.7649077811,0.0001339197001
0.269,0.7642459714,0.7641432556,0.0001344194341
0.27,0.7634824889,0.7633794943,0.0001349191683
0.271,0.7627197691,0.7626164964,0.0001354189027
0.272,0.7619578113,0.7618542611,0.0001359186374
0.273,0.7611966147,0.7610927876,0.0001364183724
0.274,0.7604361785,0.7603320753,0.0001369181076
0.275,0.759676502,0.7595721232,0.000137417843
0.276,0.7589175844,0.7588129308,0.0001379175787
0.277,0.758159425,0.7580544971,0.0001384173147
0.278,0.757402023,0.7572968215,0.0001389170509
0.279,0.7566453776,0.7565399032,0.0001394167874
0.28,0.7558894881,0.7557837415,0.0001399165241
0.281,0.7551343537,0.7550283355,0.000140416261
0.282,0.7543799738,0.7542736845,0.0001409159982
0.283,0.7536263474,0.7535197879,0.0001414157357
0.284,0.7528734739,0.7527666447,0.0001419154734
0.285,0.7521213526,0.7520142543,0.0001424152113
0.286,0.7513699826,0.7512626159,0.0001429149495
0.287,0.7506193632,0.7505117288,0.000143414688
0.288,0.7498694937,0.7497615922,0.0001439144267
0.289,0.7491203734,0.7490122054,0.0001444141656
0.29,0.7483720014,0.7482635676,0.0001449139048
0.291,0.747624377,0.747515678,0.0001454136443
0.292,0.7468774995,0.746768536,0.000145913384
0.293,0.7461313681,0.7460221407,0.0001464131239
0.294,0.7453859821,0.7452764914,0.0001469128641
0.295,0.7446413408,0.7445315875,0.0001474126046
0.296,0.7438974434,0.743787428,0.0001479123453
0.297,0.7431542891,0.7430440124,0.0001484120862
0.298,0.7424118772,0.7423013397,0.0001489118274
0.299,0.741670207,0.7415594094,0.0001494115689
0.3,0.7409292777,0.7408182207,0.0001499113106
0.301,0.7401890886,0.7400777727,0.0001504110525
0.302,0.739449639,0.7393380649,0.0001509107947
0.303,0.7387109281,0.7385990964,0.0001514105372
0.304,0.7379729551,0.7378608665,0.0001519102798
0.305,0.7372357194,0.7371233744,0.0001524100228
0.306,0.7364992202,0.7363866195,0.000152909766
0.307,0.7357634567,0.7356506009,0.0001534095094
0.308,0.7350284283,0.734915318,0.0001539092531
0.309,0.7342941341,0.73418077,0.0001544089971
0.31,0.7335605736,0.7334469562,0.0001549087413
0.311,0.7328277458,0.7327138759,0.0001554084857
0.312,0.7320956502,0.7319815282,0.0001559082304
0.313,0.7313642859,0.7312499126,0.0001564079754
0.314,0.7306336522,0.7305190282,0.0001569077205
0.315,0.7299037485,0.7297888743,0.000157407466
0.316,0.7291745739,0.7290594502,0.0001579072117
0.317,0.7284461278,0.7283307551,0.0001584069576
0.318,0.7277184094,0.7276027884,0.0001589067038
0.319,0.726991418,0.7268755493,0.0001594064503
0.32,0.7262651528,0.7261490371,0.0001599061969
0.321,0.7255396132,0.725423251,0.0001604059439
0.322,0.7248147984,0.7246981903,0.0001609056911
0.323,0.7240907077,0.7239738544,0.0001614054385
0.324,0.7233673403,0.7232502424,0.0001619051862
0.325,0.7226446956,0.7225273536,0.0001624049342
0.326,0.7219227729,0.7218051874,0.0001629046823
0.327,0.7212015713,0.721083743,0.0001634044308
0.328,0.7204810902,0.7203630197,0.0001639041795
0.329,0.7197613289,0.7196430167,0.0001644039284
0.33,0.7190422866,0.7189237334,0.0001649036776
0.331,0.7183239626,0.718205169,0.000165403427
0.332,0.7176063563,0.7174873229,0.0001659031767
0.333,0.7168894668,0.7167701942,0.0001664029267
0.334,0.7161732935,0.7160537822,0.0001669026769
